,character,affiliation
0,Avery,Death Eater
1,Regulus Arcturus Black,Death Eater
2,Alecto Carrow,Death Eater
3,Crabbe Sr.,Death Eater
4,"Bartemius ""Barty"" Crouch Jr.",Death Eater
5,Antonin Dolohov,Death Eater
6,Gibbon,Death Eater
7,Goyle Sr.,Death Eater
8,Fenrir Greyback,Death Eater
9,Jugson,Death Eater
10,Igor Karkaroff,Death Eater
11,Bellatrix Lestrange,Death Eater
12,Rodolphus Lestrange,Death Eater
13,Walden Macnair,Death Eater
14,Draco Malfoy,Death Eater
15,Lucius Malfoy,Death Eater
16,Mulciber,Death Eater
17,Nott Sr.,Death Eater
18,Peter Pettigrew,Death Eater
19,Augustus Rookwood,Death Eater
20,Evan Rosier,Death Eater
21,Thorfinn Rowle,Death Eater
22,Scabior,Death Eater
23,Selwyn,Death Eater
24,Severus Snape,Death Eater
25,Travers,Death Eater
26,Wilkes,Death Eater
27,Corban Yaxley,Death Eater
28,Amycus Carrow,Death Eater
29,Rabastan Lestrange,Death Eater
30,Lord Voldemort,Death Eater
