,character,affiliation
0,Hannah Abbott,Dumbledore's Army
1,Lavender Brown,Dumbledore's Army
2,Katie Bell,Dumbledore's Army
3,Susan Bones,Dumbledore's Army
4,Terry Boot,Dumbledore's Army
5,Cho Chang,Dumbledore's Army
6,Michael Corner,Dumbledore's Army
7,Colin Creevey,Dumbledore's Army
8,Dennis Creevey,Dumbledore's Army
9,Marietta Edgecombe,Dumbledore's Army
10,Justin Finch-Fletchley,Dumbledore's Army
11,Seamus Finnigan,Dumbledore's Army
12,Anthony Goldstein,Dumbledore's Army
13,Hermione Granger,Dumbledore's Army
14,Angelina Johnson,Dumbledore's Army
15,Lee Jordan,Dumbledore's Army
16,Neville Longbottom,Dumbledore's Army
17,Luna Lovegood,Dumbledore's Army
18,Ernie Macmillan,Dumbledore's Army
19,Padma Patil,Dumbledore's Army
20,Parvarti Patil,Dumbledore's Army
21,Harry Potter,Dumbledore's Army
22,Zacharias Smith,Dumbledore's Army
23,Alicia Spinnet,Dumbledore's Army
24,Dean Thomas,Dumbledore's Army
25,Fred Weasley,Dumbledore's Army
26,George Weasley,Dumbledore's Army
27,Ginny Weasley,Dumbledore's Army
28,Ron Weasley,Dumbledore's Army
29,Parvati Patil,Dumbledore's Army
30,Ronald Weasley,Dumbledore's Army
31,Rionach O'Neal,Dumbledore's Army
32,Romilda Vane,Dumbledore's Army
33,Nigel Wolpert,Dumbledore's Army
34,Maisy Reynolds,Dumbledore's Army
35,Leanne,Dumbledore's Army
36,Luca Caruso,Dumbledore's Army
37,Alice Tolipan,Dumbledore's Army
