,character,affiliation
0,Sirius Black,Order of the Phoenix
1,Edgar Bones,Order of the Phoenix
2,Caradoc Dearborn,Order of the Phoenix
3,Dedalus Diggle,Order of the Phoenix
4,Elphias Doge,Order of the Phoenix
5,Aberforth Dumbledore,Order of the Phoenix
6,Albus Dumbledore,Order of the Phoenix
7,Benjy Fenwick,Order of the Phoenix
8,Arabella Figg,Order of the Phoenix
9,Mundungus Fletcher,Order of the Phoenix
10,Rubeus Hagrid,Order of the Phoenix
11,Frank Longbottom,Order of the Phoenix
12,Remus Lupin,Order of the Phoenix
13,Dorcas Meadowes,Order of the Phoenix
14,Marlene McKinnon,Order of the Phoenix
15,"Alastor ""Mad-Eye"" Moody",Order of the Phoenix
16,Peter Pettigrew,Order of the Phoenix
17,Sturgis Podmore,Order of the Phoenix
18,James Potter,Order of the Phoenix
19,Gideon Prewett,Order of the Phoenix
20,Severus Snape,Order of the Phoenix
21,Emmeline Vance,Order of the Phoenix
22,Alice Longbottom,Order of the Phoenix
23,Fabian Prewett,Order of the Phoenix
24,Lily Potter,Order of the Phoenix
25,Hestia Jones,Order of the Phoenix
26,Arthur Weasley,Order of the Phoenix
27,Bill Weasley,Order of the Phoenix
28,Charlie Weasley,Order of the Phoenix
29,Fleur Delacour,Order of the Phoenix
30,Fred Weasley,Order of the Phoenix
31,George Weasley,Order of the Phoenix
32,Harry Potter,Order of the Phoenix
33,Hermione Granger,Order of the Phoenix
34,Kingsley Shacklebolt,Order of the Phoenix
35,Minerva McGonagall,Order of the Phoenix
36,Molly Weasley,Order of the Phoenix
37,Nymphadora Tonks,Order of the Phoenix
38,Ron Weasley,Order of the Phoenix
