scr,dst
Ted Tonks,Dirk Cresswell
Aragog,Rubeus Hagrid
Shacklebolt,Pius Thicknesse
Mafalda Hopkirk,Hermione Granger
Marvolo Gaunt,Merope
Petunia,Vernon Dursley
Dobby,Harry Potter
Smith,Helga Hufflepuff
George Weasley,Molly Weasley
Gornuk,Griphook
Alecto Carrow,Amycus Carrow
Cormac Mclaggen,Hermione Granger
Xenophilius Lovegood,Luna Lovegood
Aberforth Dumbledore,Albus
Bogrod,Hermione Granger
Diggory,Harry Potter
Peter Pettigrew,James Potter
Ron Weasley,Hermione Granger
Walden Macnair,Rubeus Hagrid
Bellatrix Lestrange,Draco Malfoy
Jordan,Harry Potter
Sirius Black,Remus Lupin
Bob Ogden,Gaunts
Dolohov,Fabian Prewett
"Bartemius ""Barty"" Crouch Sr.","Bartemius ""Barty"" Crouch Jr."
Harry Potter,Petunia
Harry Potter,Lily
Alicia Spinnet,Harry Potter
Bellatrix Lestrange,Molly Weasley
Sybill Trelawney,Lord Voldemort
Abbott,Harry Potter
Vernon Dursley,Petunia
Bellatrix Lestrange,Sirius Black
Harry Potter,James Potter
Ron Weasley,Harry Potter
Nagini,Lord Voldemort
Harry Potter,Hermione Granger
Arthur Weasley,Bill
Sirius Black,Bellatrix Lestrange
Moody,"Bartemius ""Barty"" Crouch Jr."
Chang,Harry Potter
Fluffy,Rubeus Hagrid
Frank Longbottom,Neville Longbottom
Lucius Malfoy,Draco Malfoy
Ron Weasley,Ginny Weasley
Rodolphus  Lestrange,Bellatrix Lestrange
Garrick Ollivander,Harry Potter
Molly Weasley,Fred Weasley
Gellert Grindelwald,Albus Dumbledore
Narcissa Malfoy,Lucius Malfoy
Harry Potter,Harry Potter
Harry Potter,Colin Creevey
Molly Weasley,George Weasley
Helena Ravenclaw,Rowena Ravenclaw
Scabior,Harry Potter
Gabrielle Delacour,Harry Potter
Lord Voldemort,Harry Potter
Luna Lovegood,Harry Potter
Edgecombe,Harry Potter
Peter Pettigrew,Sirius Black
Creevey,Harry Potter
Johnson,Harry Potter
Morfin Gaunt,Lord Voldemort
Remus Lupin,Harry Potter
Pius Thicknesse,Kingsley Shacklebolt
Myrtle,Lord Voldemort
Emmeline Vance,Harry Potter
Ron Weasley,Ron Weasley
Morfin Gaunts,Marvolo Gaunt
Dean Thomas,Gornuk
Albus,Ariana Dumbledore
Fleur Delacour,Bill
Fred Weasley,Molly Weasley
Fleur Delacour,Harry Potter
Fawkes,Harry Potter
James Potter,Lily
Albus Dumbledore,Harry Potter
Molly Weasley,Bill
James Potter,Molly Weasley
Dirk Cresswell,Gornuk
Katie Bell,Harry Potter
Gornuk,Dirk Cresswell
Scabior,Ron Weasley
Harry Potter,Dennis Creevey
Cornelius Fudge,Lord Voldemort
Dudley Dursley,Vernon Dursley
Sirius Black,Harry Potter
Ted Tonks,Andromeda
Romilda Vane,Harry Potter
Nigellus Black,Sirius Black
Ron Weasley,Arthur Weasley
Ginny Weasley,Arthur Weasley
Fred Weasley,Arthur Weasley
Percy Weasley,Arthur Weasley
Charlie Weasley,Arthur Weasley
George Weasley,Arthur Weasley
Dudley Dursley,Petunia Dursley
Vernon Dursley,Petunia Dursley
Marjorie (Marge) Dursley,Vernon Dursley
Petunia,Harry Potter
Vernon Dursley,Harry Potter
Petunia,Lily Potter
Draco Malfoy,Lucius Malfoy
Draco Malfoy,Narcissa Malfoy
Lucius Malfoy,Narcissa Malfoy
Alice Longbottom,Frank Longbottom
Augusta Longbottom,Frank Longbottom
Alice Longbottom,Neville Longbottom
Alice Longbottom,Bellatrix Lestrange
Frank Longbottom,Bellatrix Lestrange
