character
Regulus Arcturus Black
Albus Dumbledore
Argus Filch
Bellatrix Lestrange
Remus Lupin
Ron Weasley
Peter Pettigrew
James Potter
Arthur Weasley
Molly Weasley
Sirius Black
Vincent Crabbe Sr.
Fleur Delacour
Narcissa Malfoy
Dobby
Cho Chang
"Bartemius ""Barty"" Crouch Jr."
Cedric Diggory
Goyle Sr.
Gregory Goyle
Hermione Granger
Rubeus Hagrid
Igor Karkaroff
Frank Longbottom
Neville Longbottom
Lucius Malfoy
Minerva McGonagall
Harry Potter
"Alastor ""Mad-Eye"" Moody"
Lily Potter
Severus Snape
Quirinus Quirrell
Tom Riddle Sr.
Mary Riddle
Nymphadora Tonks
Bill Weasley
Charlie Weasley
Fred Weasley
George Weasley
Ginny Weasley
Alberforth Dumbledore
Petunia Dursley
Vernon Dursley
Nicolas Flamel
Cornelius Fudge
Olympe Maxime
Rita Skeeter
Dolores Janes Umbridge
Lavender Brown
Vincent Crabbe
Seamus Finnigan
Viktor Krum
Luna Lovegood
Draco Malfoy
Fluffy
Aragog
Grawp
Lord Voldemort
Dudley Dursley
Hedwig
Moaning Myrtle
Percy Weasley
Alice Longbottom
"Bartemius ""Barty"" Crouch Sr."
Xenophilius Lovegood
Ted Tonks
Kingsley Shacklebolt
Mafalda Hopkirk
Marvolo Gaunt
Zacharias Smith
Gornuk
Alecto Carrow
Cormac Mclaggen
Aberforth Dumbledore
Bogrod
Walden Macnair
Lee Jordan
Bob Ogden
Antonin Dolohov
Alicia Spinnet
Sybill Trelawney
Hannah Abbott
Nagini
Rodolphus  Lestrange
Garrick Ollivander
Gellert Grindelwald
Helena Ravenclaw
Scabior
Gabrielle Delacour
Marietta Edgecombe
Dennis Creevey
Angelina Johnson
Morfin Gaunt
Pius Thicknesse
Emmeline Vance
Morfin Gaunts
Dean Thomas
Fawkes
Dirk Cresswell
Katie Bell
Romilda Vane
Nigellus Black
Marjorie (Marge) Dursley
Augusta Longbottom
Merope
Helga Hufflepuff
Griphook
Amycus Carrow
Gaunts
Fabian Prewett
Colin Creevey
Rowena Ravenclaw
Ariana Dumbledore
Andromeda Tonks
